Service Id,Multi-Tenancy model,Automated Provisioning,Single Sign On,Subscription Based Billing,High Availability,Elastic Infrastructure,Data Security,Application Security,Rate Limiting/QoS,Audit,Security,Scalability,Ease Of Use,Latency,Score
Service_ID : 88,73,Medium,No,Low,High,Strongly Agree,Medium,Medium,12,High,Medium,Low,Agree,Medium,64.0625
Service_ID : 89,618,Medium,Yes,Medium,Low,Strongly Disagree,High,Medium,99,Medium,High,High,Disagree,Low,75.0
Service_ID : 90,993,Medium,No,Medium,Medium,Agree,Medium,Low,9,Low,Low,Low,Neutral,Very High,37.5
Service_ID : 91,185,High,Yes,High,Low,Agree,High,Low,31,Medium,Low,Low,Strongly Agree,Low,68.75
Service_ID : 92,4,Medium,Yes,High,Low,Strongly Agree,Low,Medium,44,High,Low,Low,Strongly Agree,Low,68.75
Service_ID : 93,317,High,Yes,Low,High,Neutral,Low,Medium,3,Medium,Low,Low,Agree,High,50.0
Service_ID : 94,704,Low,Yes,High,Medium,Disagree,Medium,High,15,Low,High,Low,Disagree,High,53.125
Service_ID : 95,802,High,Yes,High,Low,Disagree,High,High,56,Medium,High,High,Agree,Low,87.5
Service_ID : 96,724,Medium,Yes,High,Medium,Neutral,High,High,98,Low,High,High,Agree,Very Low,93.75
Service_ID : 97,837,High,Yes,Low,Medium,Agree,Low,Medium,48,High,Low,High,Strongly Agree,Low,78.125
Service_ID : 98,193,Low,No,High,Medium,Strongly Disagree,Medium,Low,35,Low,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 99,487,Low,Yes,Low,High,Agree,Medium,Medium,13,Medium,Medium,Low,Agree,High,57.8125
Service_ID : 100,705,Medium,Yes,Low,Low,Neutral,Medium,High,21,Medium,High,Low,Disagree,High,53.125
Service_ID : 101,262,Low,Yes,Medium,Medium,Neutral,Low,Low,84,High,Low,Medium,Agree,Low,67.1875
Service_ID : 102,9,High,Yes,High,High,Neutral,High,Low,41,Medium,Low,Low,Strongly Agree,Very Low,75.0
Service_ID : 103,412,High,Yes,High,High,Neutral,High,Low,31,Low,Low,Low,Strongly Agree,Low,68.75
Service_ID : 104,61,Low,No,Medium,Low,Agree,High,Low,8,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 105,15,Low,No,Low,Medium,Neutral,Medium,Low,61,High,Low,Low,Strongly Disagree,Medium,37.5
Service_ID : 106,850,Medium,No,High,Low,Strongly Disagree,Medium,High,40,Medium,High,Medium,Strongly Disagree,Very High,45.3125
Service_ID : 107,205,High,Yes,High,High,Disagree,Low,High,55,Low,Low,Low,Agree,Very Low,68.75
Service_ID : 108,702,High,No,Low,High,Strongly Agree,High,High,10,High,High,Low,Agree,Medium,71.875
Service_ID : 109,728,Medium,Yes,Medium,Low,Agree,Medium,Medium,62,Medium,Medium,High,Agree,Low,79.6875
Service_ID : 110,450,Medium,No,Medium,Medium,Strongly Disagree,High,Medium,6,Medium,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 111,779,Low,Yes,High,Low,Disagree,Low,Medium,34,High,Low,Medium,Disagree,High,42.1875
Service_ID : 112,128,Medium,Yes,Medium,Medium,Disagree,Low,High,47,Low,Low,Low,Disagree,Low,50.0
Service_ID : 113,641,High,Yes,Medium,Medium,Agree,Medium,High,14,Low,High,Low,Agree,Low,78.125
Service_ID : 114,301,Medium,Yes,High,High,Disagree,High,High,51,Medium,High,Low,Strongly Agree,Low,84.375
Service_ID : 115,248,High,No,Medium,Low,Agree,Low,High,3,Low,Low,Low,Neutral,Very High,37.5
Service_ID : 116,175,High,Yes,Low,Medium,Disagree,Medium,High,3,Medium,High,Low,Agree,High,65.625
Service_ID : 117,679,Low,No,High,Medium,Agree,High,Medium,85,High,High,High,Agree,Medium,81.25
Service_ID : 118,563,High,No,Medium,Low,Agree,Medium,High,14,Low,High,Low,Neutral,Medium,65.625
Service_ID : 119,439,Medium,Yes,Medium,High,Disagree,High,High,99,Medium,High,High,Agree,Low,87.5
Service_ID : 120,525,High,No,Medium,Low,Neutral,High,Medium,33,Medium,High,Medium,Neutral,Medium,70.3125
Service_ID : 121,180,Low,No,Low,High,Strongly Agree,High,High,86,Low,High,Low,Strongly Disagree,Medium,53.125
Service_ID : 122,119,High,Yes,Medium,Medium,Agree,Medium,Medium,14,Low,Medium,Low,Agree,Low,70.3125
Service_ID : 123,90,High,Yes,Low,Low,Neutral,High,Medium,25,Medium,High,Low,Disagree,High,53.125
Service_ID : 124,608,Low,No,Low,Low,Strongly Agree,Medium,Low,17,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 125,887,Low,Yes,Low,High,Disagree,Medium,Low,10,High,Low,Low,Disagree,High,37.5
Service_ID : 126,668,Medium,Yes,Medium,Medium,Strongly Disagree,High,High,80,High,High,High,Agree,Low,87.5
Service_ID : 127,369,Low,Yes,Medium,Low,Strongly Disagree,High,Medium,21,Medium,High,Low,Disagree,High,53.125
Service_ID : 128,733,Low,No,Low,High,Disagree,Medium,Medium,4,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 129,951,Medium,Yes,Low,High,Strongly Agree,High,Medium,39,High,High,High,Strongly Agree,Low,93.75
Service_ID : 130,957,Medium,No,Low,High,Disagree,Low,Medium,50,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 131,315,High,No,Low,Low,Strongly Disagree,Low,Low,3,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 132,509,Low,No,High,Low,Disagree,Medium,Medium,2,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 133,747,High,Yes,Medium,High,Disagree,Low,High,15,High,Low,Low,Strongly Agree,Low,68.75
Service_ID : 134,502,Low,Yes,Low,Medium,Strongly Disagree,Medium,Medium,73,Low,Medium,High,Disagree,High,54.6875
Service_ID : 135,226,Medium,No,High,High,Agree,Medium,Low,43,High,Low,Low,Agree,Low,62.5
Service_ID : 136,266,Low,No,Medium,Low,Strongly Agree,Low,High,50,Low,Low,Low,Strongly Disagree,Medium,37.5
Service_ID : 137,491,High,No,High,Medium,Neutral,Medium,High,97,High,High,High,Agree,Low,87.5
Service_ID : 138,958,Low,No,High,Medium,Neutral,Low,Low,21,High,Low,Medium,Neutral,Medium,54.6875
Service_ID : 139,249,Medium,Yes,High,High,Neutral,High,Medium,48,Medium,High,Low,Strongly Agree,Very Low,90.625
Service_ID : 140,894,Low,No,Low,Medium,Strongly Agree,High,High,53,High,High,High,Neutral,Medium,75.0
Service_ID : 141,954,Medium,No,Medium,Low,Strongly Disagree,High,High,77,Low,High,High,Strongly Disagree,Very High,50.0
Service_ID : 142,900,High,No,High,High,Strongly Agree,High,Low,33,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 143,713,Low,No,Low,High,Strongly Agree,Low,Low,56,High,Low,High,Neutral,Medium,59.375
Service_ID : 144,482,Medium,Yes,Low,Medium,Strongly Agree,Low,Low,60,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 145,166,Medium,Yes,Low,Medium,Strongly Agree,Medium,Medium,32,Low,Medium,Low,Disagree,Low,57.8125
Service_ID : 146,290,Low,Yes,Medium,Low,Strongly Disagree,Medium,Medium,53,High,Medium,Low,Disagree,High,45.3125
Service_ID : 147,981,High,Yes,Low,Medium,Disagree,Low,Medium,62,Low,Low,High,Disagree,Low,59.375
Service_ID : 148,589,Low,No,Low,Medium,Neutral,High,High,67,High,High,High,Strongly Disagree,Medium,62.5
Service_ID : 149,500,High,No,Low,Low,Neutral,Low,High,89,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 150,66,Low,No,Low,High,Agree,Medium,High,18,Medium,High,Low,Neutral,Very High,53.125
Service_ID : 151,657,Low,Yes,Medium,Low,Strongly Disagree,Medium,Medium,39,Medium,Medium,Medium,Disagree,High,50.0
Service_ID : 152,857,High,No,Medium,Low,Strongly Disagree,High,High,68,High,High,High,Strongly Disagree,Medium,62.5
Service_ID : 153,176,High,No,High,High,Disagree,Medium,Medium,64,Low,Medium,Low,Neutral,Low,64.0625
Service_ID : 154,824,High,No,Low,High,Disagree,Low,High,60,Medium,Low,High,Neutral,Medium,59.375
Service_ID : 155,82,Medium,Yes,High,Medium,Agree,Low,Medium,46,Low,Low,Low,Agree,Low,62.5
Service_ID : 156,921,Medium,No,Medium,High,Strongly Disagree,Low,High,93,Low,Low,High,Strongly Disagree,Medium,46.875
Service_ID : 157,429,High,No,Low,High,Neutral,High,Medium,15,Medium,High,Low,Neutral,Medium,65.625
Service_ID : 158,948,Low,No,High,High,Neutral,High,Low,35,Medium,Low,Medium,Neutral,Medium,54.6875
Service_ID : 159,240,Low,Yes,Low,Medium,Strongly Disagree,Low,Medium,34,Low,Low,Low,Disagree,High,37.5
Service_ID : 160,883,Medium,Yes,High,Medium,Strongly Disagree,Medium,Low,13,Medium,Low,Low,Agree,High,50.0
Service_ID : 161,403,Low,Yes,High,Medium,Strongly Agree,Low,Medium,88,Low,Low,Medium,Agree,Very Low,73.4375
Service_ID : 162,857,Medium,Yes,Medium,Low,Strongly Agree,Low,Low,49,Low,Low,High,Disagree,Low,59.375
Service_ID : 163,800,High,No,Medium,Medium,Strongly Disagree,Medium,Medium,1,Low,Medium,Low,Strongly Disagree,Very High,32.8125
Service_ID : 164,97,Low,No,Medium,Low,Agree,High,Low,12,Medium,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 165,838,High,Yes,Medium,Low,Strongly Disagree,Medium,Low,5,Medium,Low,Low,Disagree,High,37.5
Service_ID : 166,152,Medium,No,High,High,Agree,High,High,33,Medium,High,Low,Agree,Medium,71.875
Service_ID : 167,919,High,No,Low,High,Disagree,High,Medium,64,High,High,High,Neutral,Medium,75.0
Service_ID : 168,794,Low,Yes,Low,Medium,Strongly Agree,High,High,16,Medium,High,Low,Disagree,High,53.125
Service_ID : 169,713,Medium,Yes,Medium,Low,Neutral,Medium,Low,89,Medium,Low,High,Agree,Low,71.875
Service_ID : 170,748,High,Yes,High,Low,Strongly Disagree,High,Medium,43,Medium,High,Medium,Disagree,Low,70.3125
Service_ID : 171,654,High,Yes,High,Medium,Strongly Agree,High,High,44,High,High,Medium,Strongly Agree,Very Low,95.3125
Service_ID : 172,158,Medium,Yes,High,High,Disagree,Medium,Low,2,Low,Low,Low,Agree,High,50.0
Service_ID : 173,165,Low,No,Medium,Medium,Strongly Disagree,Low,High,45,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 174,303,Medium,No,High,Medium,Agree,High,Low,25,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 175,139,Medium,No,Medium,Low,Neutral,Medium,Medium,69,Low,Medium,Low,Strongly Disagree,Medium,45.3125
Service_ID : 176,694,High,No,Medium,High,Strongly Disagree,Medium,High,37,Medium,High,Medium,Neutral,Medium,70.3125
Service_ID : 177,587,Low,Yes,Low,Medium,Agree,Medium,Low,3,High,Low,Low,Agree,High,50.0
Service_ID : 178,955,High,No,Low,Medium,Strongly Disagree,Low,Medium,32,Low,Low,Medium,Strongly Disagree,Very High,29.6875
Service_ID : 179,970,Medium,Yes,Low,Low,Neutral,High,Medium,29,Medium,High,Medium,Disagree,High,57.8125
Service_ID : 180,178,High,No,High,Low,Strongly Agree,Medium,Medium,74,Low,Medium,Low,Neutral,Low,64.0625
Service_ID : 181,300,Low,Yes,High,Medium,Neutral,Low,Low,51,Low,Low,Low,Disagree,Low,50.0
Service_ID : 182,424,High,Yes,Medium,Medium,Strongly Disagree,Low,High,3,Medium,Low,Low,Agree,High,50.0
Service_ID : 183,885,Low,No,Low,Medium,Disagree,Low,Low,6,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 184,137,High,No,High,High,Strongly Disagree,High,High,62,High,High,Low,Agree,Medium,71.875
Service_ID : 185,165,High,No,Low,High,Strongly Disagree,Low,Low,53,Medium,Low,Low,Strongly Disagree,Medium,37.5
Service_ID : 186,591,Low,Yes,High,Low,Neutral,Low,High,50,Low,Low,Medium,Disagree,Low,54.6875
Service_ID : 187,700,Low,No,High,Low,Strongly Agree,Medium,Medium,40,High,Medium,Medium,Neutral,Medium,62.5
Service_ID : 188,877,Low,Yes,Low,Medium,Neutral,Low,Medium,72,Medium,Low,High,Disagree,Low,59.375
Service_ID : 189,865,Medium,No,Low,Low,Strongly Disagree,Low,High,48,Medium,Low,High,Strongly Disagree,Very High,34.375
Service_ID : 190,641,Low,Yes,Low,High,Disagree,Low,High,18,Low,Low,Low,Disagree,High,37.5
Service_ID : 191,829,Low,Yes,Medium,Low,Disagree,Low,High,46,Low,Low,High,Disagree,High,46.875
Service_ID : 192,5,High,Yes,Low,Medium,Strongly Agree,Low,Medium,15,Medium,Low,Low,Agree,Low,62.5
Service_ID : 193,501,Low,Yes,High,Medium,Strongly Agree,High,High,47,Low,High,Medium,Agree,Low,82.8125
Service_ID : 194,364,High,Yes,High,Low,Disagree,High,Medium,51,Low,High,Medium,Disagree,Low,70.3125
Service_ID : 195,579,Medium,No,Medium,Low,Strongly Agree,Medium,High,39,Medium,High,Medium,Neutral,Medium,70.3125
Service_ID : 196,878,Low,No,Medium,High,Strongly Agree,Medium,High,34,High,High,Medium,Agree,Medium,76.5625
Service_ID : 197,243,Low,Yes,Medium,Low,Strongly Agree,High,Medium,61,Low,High,Low,Disagree,Low,65.625
Service_ID : 198,33,Low,Yes,Low,High,Strongly Agree,Medium,Low,72,High,Low,Low,Agree,Low,62.5
Service_ID : 199,636,Low,Yes,High,High,Agree,Low,Low,68,High,Low,High,Strongly Agree,Low,78.125
Service_ID : 200,450,Low,No,High,Medium,Neutral,Medium,Low,21,Medium,Low,Low,Neutral,Medium,50.0
Service_ID : 201,134,Medium,Yes,Medium,High,Strongly Disagree,High,Medium,92,Low,High,Low,Disagree,Low,65.625
Service_ID : 202,636,High,Yes,Medium,Medium,Agree,Medium,Low,27,Medium,Low,Medium,Strongly Agree,Low,73.4375
Service_ID : 203,59,High,No,High,Medium,Disagree,Medium,High,82,Medium,High,Low,Agree,Low,78.125
Service_ID : 204,406,High,No,High,Medium,Neutral,High,Medium,78,Medium,High,Medium,Agree,Low,82.8125
Service_ID : 205,590,Medium,Yes,Medium,Low,Disagree,Medium,Low,6,Low,Low,Low,Disagree,High,37.5
Service_ID : 206,469,Low,Yes,High,Low,Strongly Disagree,High,Low,20,High,Low,Low,Disagree,High,37.5
Service_ID : 207,370,High,No,High,Low,Agree,Low,Low,23,Low,Low,Low,Neutral,Medium,50.0
Service_ID : 208,507,High,Yes,High,Medium,Agree,High,Medium,26,Medium,High,Low,Strongly Agree,Low,84.375
Service_ID : 209,837,High,No,Medium,Low,Strongly Agree,High,Medium,45,Low,High,High,Neutral,Medium,75.0
Service_ID : 210,337,Medium,No,High,Low,Neutral,Medium,Medium,95,High,Medium,Medium,Neutral,Medium,62.5
Service_ID : 211,23,High,Yes,Medium,Medium,Neutral,Medium,Low,13,High,Low,Low,Strongly Agree,Low,68.75
Service_ID : 212,680,High,No,Medium,Medium,Strongly Agree,High,High,83,Medium,High,High,Agree,Low,87.5
Service_ID : 213,445,Medium,Yes,Low,Low,Disagree,High,Low,37,Medium,Low,Medium,Disagree,High,42.1875
Service_ID : 214,251,Medium,Yes,High,Low,Agree,Medium,Low,75,Medium,Low,Medium,Agree,Low,67.1875
Service_ID : 215,229,High,No,High,Medium,Strongly Disagree,Medium,High,7,Low,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 216,77,Low,No,High,Low,Strongly Disagree,Medium,High,39,Low,High,Low,Strongly Disagree,Very High,40.625
Service_ID : 217,468,High,No,Medium,Medium,Strongly Agree,High,Low,75,Low,Low,Medium,Neutral,Low,60.9375
Service_ID : 218,253,High,No,Medium,Medium,Agree,Medium,High,44,Low,High,Low,Neutral,Medium,65.625
Service_ID : 219,82,Low,No,High,Low,Strongly Disagree,Low,Medium,92,High,Low,Low,Strongly Disagree,Very High,25.0
Service_ID : 220,774,Medium,Yes,Low,Low,Agree,Low,Medium,40,High,Low,Medium,Agree,Low,67.1875
Service_ID : 221,322,Low,Yes,Low,Medium,Strongly Disagree,Medium,High,11,High,High,Low,Disagree,High,53.125
Service_ID : 222,28,High,Yes,High,Low,Strongly Agree,High,Medium,93,Low,High,Low,Agree,Very Low,84.375
Service_ID : 223,593,Low,Yes,Low,High,Strongly Disagree,Low,High,62,High,Low,High,Disagree,High,46.875
Service_ID : 224,56,High,No,Medium,Low,Disagree,Medium,Medium,15,High,Medium,Low,Neutral,Very High,45.3125
Service_ID : 225,415,Medium,Yes,High,Low,Strongly Agree,High,Medium,75,High,High,Medium,Strongly Agree,Low,89.0625
Service_ID : 226,45,Medium,No,Medium,High,Neutral,Medium,High,36,Low,High,Low,Neutral,Medium,65.625
Service_ID : 227,327,High,No,Medium,Medium,Neutral,Low,High,26,High,Low,Low,Agree,Medium,56.25
Service_ID : 228,497,Medium,Yes,Low,Medium,Neutral,Low,Low,37,Low,Low,Medium,Disagree,Low,54.6875
Service_ID : 229,282,Low,Yes,High,Low,Disagree,High,High,91,Medium,High,Medium,Disagree,Low,70.3125
Service_ID : 230,749,Medium,Yes,Medium,Medium,Agree,High,Low,53,Medium,Low,High,Strongly Agree,Low,78.125
Service_ID : 231,577,Medium,Yes,Medium,Medium,Neutral,Low,High,14,High,Low,Low,Strongly Agree,Low,68.75
